HG02723	min_cvg_less_100
HG03492	min_cvg_less_100
HG00733	mean_cvg_less_500
HG01106	mean_cvg_less_500
HG01175	mean_cvg_less_500
HG02148	mean_cvg_less_500
HG02723	mean_cvg_less_500
HG03492	mean_cvg_less_500
NA18906	mean_cvg_less_500
HG00621	multiple_NUMTs	KM281521.1	2
HG00735	multiple_NUMTs	KM281521.1	2
HG00741	multiple_NUMTs	KM281521.1	5
HG00741	multiple_NUMTs	KM281526.1	2
HG01071	multiple_NUMTs	KM281521.1	3
HG01109	multiple_NUMTs	KM281521.1	6
HG01109	multiple_NUMTs	KM281526.1	2
HG01891	multiple_NUMTs	KM281521.1	2
HG02080	multiple_NUMTs	KM281521.1	3
HG02145	multiple_NUMTs	KM281521.1	3
HG02145	multiple_NUMTs	KM281526.1	2
HG02257	multiple_NUMTs	KM281521.1	2
HG02257	multiple_NUMTs	KM281533.1	2
HG02572	multiple_NUMTs	KM281521.1	5
HG02572	multiple_NUMTs	KM281526.1	2
HG02630	multiple_NUMTs	KM281521.1	4
HG02630	multiple_NUMTs	KM281526.1	2
HG02717	multiple_NUMTs	KM281521.1	3
HG02717	multiple_NUMTs	KM281533.1	2
HG02723	multiple_NUMTs	KM281521.1	3
HG02818	multiple_NUMTs	KM281532.1	2
HG02818	multiple_NUMTs	KM281533.1	2
HG02886	multiple_NUMTs	KM281521.1	4
HG02886	multiple_NUMTs	KM281526.1	2
HG03098	multiple_NUMTs	KM281521.1	4
HG03098	multiple_NUMTs	KM281526.1	2
HG03453	multiple_NUMTs	KM281521.1	4
HG03453	multiple_NUMTs	KM281526.1	2
HG03486	multiple_NUMTs	KM281532.1	2
HG03486	multiple_NUMTs	KM281533.1	2
HG03516	multiple_NUMTs	KM281521.1	4
HG03516	multiple_NUMTs	KM281526.1	2
HG03516	multiple_NUMTs	KM281533.1	2
HG03540	multiple_NUMTs	KM281521.1	2
HG03579	multiple_NUMTs	KM281521.1	3
HG03579	multiple_NUMTs	KM281526.1	2
NA19240	multiple_NUMTs	KM281532.1	2
NA19240	multiple_NUMTs	KM281533.1	2
NA20129	multiple_NUMTs	KM281532.1	2
NA20129	multiple_NUMTs	KM281533.1	2
