Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	32	4	32	1	0	3	30	1	30	0	0	1	36	.
HG00621	25	5	25	3	0	2	24	2	24	2	0	0	30	.
HG00673	30	7	29	4	1	3	28	2	27	2	1	0	37	.
HG00733	29	4	29	3	0	1	29	1	29	1	0	0	33	.
HG00735	40	6	40	2	0	4	40	3	40	1	0	2	46	.
HG00741	80	3	80	1	0	2	78	0	78	0	0	0	83	.
HG01071	42	6	41	3	1	3	40	2	39	1	1	1	48	.
HG01106	35	3	35	2	0	1	35	0	35	0	0	0	38	.
HG01109	84	2	83	1	1	1	80	0	80	0	0	0	86	.
HG01175	29	5	29	4	0	1	29	2	29	2	0	0	34	.
HG01258	29	8	29	4	0	4	26	1	26	1	0	0	37	.
HG01358	32	5	32	4	0	1	32	2	32	2	0	0	37	.
HG01361	30	7	30	4	0	3	27	1	27	1	0	0	37	.
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57	.
HG01928	34	4	34	2	0	2	31	0	31	0	0	0	38	.
HG01952	32	3	32	2	0	1	32	0	32	0	0	0	35	.
HG01978	15	0	15	0	0	0	15	0	15	0	0	0	15	.
HG02055	36	8	35	4	1	4	33	3	33	2	0	1	44	.
HG02080	35	1	35	1	0	0	35	0	35	0	0	0	36	.
HG02145	59	3	58	2	1	1	57	1	57	1	0	0	62	.
HG02148	37	1	37	1	0	0	37	0	37	0	0	0	38	.
HG02257	45	6	44	4	1	2	45	3	44	2	1	1	51	.
HG02572	78	6	78	4	0	2	76	3	76	3	0	0	84	.
HG02622	31	3	30	1	1	2	28	0	28	0	0	0	34	.
HG02630	55	4	55	2	0	2	54	2	54	2	0	0	59	.
HG02717	57	3	57	2	0	1	56	1	56	1	0	0	60	.
HG02723	40	7	40	4	0	3	38	3	38	2	0	1	47	.
HG02818	38	5	38	4	0	1	38	2	38	2	0	0	43	.
HG02886	50	4	50	3	0	1	49	2	49	1	0	1	54	.
HG03098	51	4	51	2	0	2	50	1	50	1	0	0	55	.
HG03453	49	2	49	1	0	1	48	0	48	0	0	0	51	.
HG03486	53	4	53	3	0	1	52	2	52	2	0	0	57	.
HG03492	31	2	31	2	0	0	30	2	30	2	0	0	33	.
HG03516	52	2	52	1	0	1	51	1	51	1	0	0	54	.
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58	.
HG03579	58	3	58	1	0	2	58	1	58	1	0	0	61	.
NA18906	80	4	80	3	0	1	77	2	77	2	0	0	84	.
NA19240	34	2	34	0	0	2	32	0	32	0	0	0	36	.
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32	.
