Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	34	1	32	0	2	1	31	0	30	0	1	0	35
HG00621	26	2	26	0	0	2	24	0	24	0	0	0	28
HG00673	32	4	30	2	2	2	28	2	27	2	1	0	36
HG00733	30	2	29	2	1	0	29	1	29	1	0	0	32
HG00735	43	1	40	0	3	1	41	1	40	0	1	1	44
HG00741	81	1	80	0	1	1	78	0	78	0	0	0	82
HG01071	43	4	41	1	2	3	40	1	39	0	1	1	47
HG01106	36	1	35	1	1	0	35	0	35	0	0	0	37
HG01109	85	0	83	0	2	0	80	0	80	0	0	0	85
HG01175	30	2	29	2	1	0	29	1	29	1	0	0	32
HG01258	30	4	29	1	1	3	26	1	26	1	0	0	34
HG01358	33	3	32	3	1	0	32	2	32	2	0	0	36
HG01361	31	4	30	2	1	2	27	1	27	1	0	0	35
HG01891	57	0	56	0	1	0	56	0	56	0	0	0	57
HG01928	34	3	34	1	0	2	31	0	31	0	0	0	37
HG01952	33	1	32	1	1	0	32	0	32	0	0	0	34
HG01978	15	0	15	0	0	0	15	0	15	0	0	0	15
HG02055	37	5	35	2	2	3	33	3	33	2	0	1	42
HG02080	35	1	35	1	0	0	35	0	35	0	0	0	36
HG02145	59	1	57	1	2	0	57	1	57	1	0	0	60
HG02148	37	1	37	1	0	0	37	0	37	0	0	0	38
HG02257	45	3	44	1	1	2	45	1	44	0	1	1	48
HG02572	80	2	78	2	2	0	76	2	76	2	0	0	82
HG02622	32	1	30	0	2	1	28	0	28	0	0	0	33
HG02630	56	1	55	1	1	0	54	1	54	1	0	0	57
HG02717	57	4	57	2	0	2	56	1	56	1	0	0	61
HG02723	42	3	40	2	2	1	39	1	38	1	1	0	45
HG02818	39	1	38	1	1	0	38	0	38	0	0	0	40
HG02886	50	5	50	3	0	2	49	2	49	1	0	1	55
HG03098	51	2	51	1	0	1	50	0	50	0	0	0	53
HG03453	49	3	49	1	0	2	48	0	48	0	0	0	52
HG03486	53	3	53	2	0	1	52	1	52	1	0	0	56
HG03492	31	0	31	0	0	0	30	0	30	0	0	0	31
HG03516	52	1	52	0	0	1	51	0	51	0	0	0	53
HG03540	57	1	56	1	1	0	56	1	56	1	0	0	58
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61
NA18906	81	2	80	2	1	0	77	2	77	2	0	0	83
NA19240	35	1	34	0	1	1	32	0	32	0	0	0	36
NA20129	31	1	30	1	1	0	30	1	30	1	0	0	32
