Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	27	29	27	29	0	0	27	28	27	28	0	0	56	.
sample_B	24	27	24	27	0	0	22	25	22	25	0	0	51	.
sample_C	36	24	36	24	0	0	36	22	36	22	0	0	60	.
sample_D	28	29	28	29	0	0	28	29	28	29	0	0	57	.
sample_E	34	22	34	22	0	0	34	21	34	21	0	0	56	.
sample_F	21	26	21	26	0	0	21	25	21	25	0	0	47	.
sample_G	30	23	30	23	0	0	30	23	30	23	0	0	53	.
sample_HV	8	24	8	24	0	0	8	23	8	23	0	0	32	.
sample_H	9	40	9	40	0	0	9	39	9	39	0	0	49	.
sample_I	29	24	29	24	0	0	29	24	29	24	0	0	53	.
sample_J	26	23	26	23	0	0	26	23	26	23	0	0	49	.
sample_K	27	23	27	23	0	0	26	23	26	23	0	0	50	.
sample_L0	74	23	74	23	0	0	74	19	74	19	0	0	97	multiple_NUMTs
sample_L1	63	24	63	24	0	0	63	21	63	21	0	0	87	multiple_NUMTs
sample_L2	47	21	47	21	0	0	47	21	47	21	0	0	68	.
sample_L3	20	25	20	25	0	0	20	25	20	25	0	0	45	.
sample_L4	47	20	47	20	0	0	46	20	46	20	0	0	67	.
sample_L5	69	25	69	25	0	0	69	22	69	22	0	0	94	multiple_NUMTs
sample_M	23	21	23	21	0	0	23	21	23	21	0	0	44	.
sample_N	30	27	30	27	0	0	30	26	30	26	0	0	57	.
sample_P	22	24	22	24	0	0	22	23	22	23	0	0	46	.
sample_R	12	23	12	23	0	0	12	23	12	23	0	0	35	.
sample_S	2	27	2	27	0	0	1	27	1	27	0	0	29	.
sample_T	29	24	29	24	0	0	29	23	29	23	0	0	53	.
sample_U	16	27	16	27	0	0	16	27	16	27	0	0	43	.
sample_V	12	25	12	25	0	0	12	24	12	24	0	0	37	.
sample_W	30	29	30	29	0	0	30	28	30	28	0	0	59	.
sample_X	28	27	28	27	0	0	27	26	27	26	0	0	55	.
sample_Y	22	19	22	19	0	0	22	18	22	18	0	0	41	.
sample_Z	34	27	34	27	0	0	33	27	33	27	0	0	61	.
