Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	27	42	27	42	0	0	27	39	27	39	0	0	69
sample_B	24	43	24	43	0	0	22	37	22	37	0	0	67
sample_C	35	48	35	48	0	0	35	43	35	43	0	0	83
sample_D	28	43	28	43	0	0	28	41	28	41	0	0	71
sample_E	34	42	34	42	0	0	34	40	34	40	0	0	76
sample_F	21	46	21	46	0	0	21	42	21	42	0	0	67
sample_G	30	41	30	41	0	0	30	38	30	38	0	0	71
sample_HV	8	39	8	39	0	0	8	38	8	38	0	0	47
sample_H	9	75	9	75	0	0	9	74	9	74	0	0	84
sample_I	29	44	29	44	0	0	29	42	29	42	0	0	73
sample_J	26	42	26	42	0	0	26	40	26	40	0	0	68
sample_K	27	41	27	41	0	0	26	40	26	40	0	0	68
sample_L0	73	47	73	47	0	0	73	42	73	42	0	0	120
sample_L1	60	50	60	50	0	0	60	44	60	44	0	0	110
sample_L2	45	42	45	42	0	0	45	42	45	42	0	0	87
sample_L3	20	41	20	41	0	0	20	40	20	40	0	0	61
sample_L4	45	44	45	44	0	0	44	42	44	42	0	0	89
sample_L5	67	49	67	49	0	0	67	43	67	43	0	0	116
sample_M	23	41	23	41	0	0	23	39	23	39	0	0	64
sample_N	29	41	29	41	0	0	29	40	29	40	0	0	70
sample_P	22	43	22	43	0	0	22	40	22	40	0	0	65
sample_R	12	40	12	40	0	0	12	39	12	39	0	0	52
sample_S	1	44	1	44	0	0	1	42	1	42	0	0	45
sample_T	28	38	28	38	0	0	28	37	28	37	0	0	66
sample_U	16	44	16	44	0	0	16	42	16	42	0	0	60
sample_V	12	36	12	36	0	0	12	35	12	35	0	0	48
sample_W	29	40	29	40	0	0	29	39	29	39	0	0	69
sample_X	27	42	27	42	0	0	26	39	26	39	0	0	69
sample_Y	22	41	22	41	0	0	22	40	22	40	0	0	63
sample_Z	32	46	32	46	0	0	32	44	32	44	0	0	78
