Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	20	51	20	51	0	0	20	50	20	50	0	0	71	.
sample_B	17	50	17	50	0	0	16	44	16	44	0	0	67	.
sample_C	23	58	23	58	0	0	23	55	23	55	0	0	81	multiple_NUMTs
sample_D	19	54	19	54	0	0	19	52	19	52	0	0	73	multiple_NUMTs
sample_E	23	50	23	50	0	0	23	48	23	48	0	0	73	multiple_NUMTs
sample_F	18	47	18	47	0	0	18	43	18	43	0	0	65	.
sample_G	22	47	22	47	0	0	22	46	22	46	0	0	69	multiple_NUMTs
sample_HV	5	43	5	43	0	0	5	42	5	42	0	0	48	.
sample_H	6	76	6	76	0	0	6	74	6	74	0	0	82	.
sample_I	21	51	21	51	0	0	21	49	21	49	0	0	72	.
sample_J	19	49	19	49	0	0	19	47	19	47	0	0	68	.
sample_K	18	55	18	55	0	0	18	52	18	52	0	0	73	.
sample_L0	55	64	55	64	0	0	55	60	55	60	0	0	119	multiple_NUMTs
sample_L1	49	61	49	61	0	0	49	56	49	56	0	0	110	multiple_NUMTs
sample_L2	33	54	33	54	0	0	33	53	33	53	0	0	87	multiple_NUMTs
sample_L3	14	47	14	47	0	0	14	45	14	45	0	0	61	multiple_NUMTs
sample_L4	35	59	35	59	0	0	35	55	35	55	0	0	94	multiple_NUMTs
sample_L5	49	67	49	67	0	0	49	62	49	62	0	0	116	multiple_NUMTs
sample_M	15	46	15	46	0	0	15	45	15	45	0	0	61	multiple_NUMTs
sample_N	22	49	22	49	0	0	22	47	22	47	0	0	71	.
sample_P	17	46	17	46	0	0	17	44	17	44	0	0	63	.
sample_R	9	40	9	40	0	0	9	40	9	40	0	0	49	.
sample_S	1	43	1	43	0	0	1	40	1	40	0	0	44	.
sample_T	18	51	18	51	0	0	18	50	18	50	0	0	69	.
sample_U	11	49	11	49	0	0	11	47	11	47	0	0	60	.
sample_V	9	45	9	45	0	0	9	43	9	43	0	0	54	.
sample_W	22	51	22	51	0	0	22	50	22	50	0	0	73	.
sample_X	18	52	18	52	0	0	18	48	18	48	0	0	70	multiple_NUMTs
sample_Y	16	46	16	46	0	0	16	44	16	44	0	0	62	.
sample_Z	21	51	21	51	0	0	21	47	21	47	0	0	72	mismatch_HG;multiple_NUMTs
