Run	haplogroup
sample_A	A
sample_B	B
sample_C	C
sample_D	D
sample_E	E
sample_F	F
sample_G	G
sample_H	HV
sample_HV	HV
sample_I	I
sample_J	J
sample_K	K
sample_L0	L0
sample_L1	L1
sample_L2	L2
sample_L3	L3
sample_L4	L4
sample_L5	L5
sample_M	M
sample_N	N
sample_P	P
sample_R	R
sample_S	N
sample_T	T
sample_U	U
sample_V	V
sample_W	W
sample_X	X
sample_Y	Y
sample_Z	Z
