Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	20	51	20	51	0	0	20	49	20	49	0	0	71
sample_B	17	46	17	46	0	0	16	42	16	42	0	0	63
sample_C	23	55	23	55	0	0	23	51	23	51	0	0	78
sample_D	19	53	19	53	0	0	19	51	19	51	0	0	72
sample_E	22	56	22	56	0	0	22	55	22	55	0	0	78
sample_F	18	47	18	47	0	0	18	44	18	44	0	0	65
sample_G	21	50	21	50	0	0	21	48	21	48	0	0	71
sample_HV	5	42	5	42	0	0	5	40	5	40	0	0	47
sample_H	6	79	6	79	0	0	6	77	6	77	0	0	85
sample_I	21	52	21	52	0	0	21	50	21	50	0	0	73
sample_J	19	50	19	50	0	0	19	49	19	49	0	0	69
sample_K	18	53	18	53	0	0	18	51	18	51	0	0	71
sample_L0	54	67	54	67	0	0	54	61	54	61	0	0	121
sample_L1	48	59	48	59	0	0	48	54	48	54	0	0	107
sample_L2	33	59	33	59	0	0	33	57	33	57	0	0	92
sample_L3	14	49	14	49	0	0	14	47	14	47	0	0	63
sample_L4	34	56	34	56	0	0	34	54	34	54	0	0	90
sample_L5	49	72	49	72	0	0	49	65	49	65	0	0	121
sample_M	15	50	15	50	0	0	15	48	15	48	0	0	65
sample_N	23	46	23	46	0	0	23	45	23	45	0	0	69
sample_P	16	52	16	52	0	0	16	50	16	50	0	0	68
sample_R	9	43	9	43	0	0	9	41	9	41	0	0	52
sample_S	1	46	1	46	0	0	1	44	1	44	0	0	47
sample_T	19	50	19	50	0	0	19	49	19	49	0	0	69
sample_U	11	48	11	48	0	0	11	47	11	47	0	0	59
sample_V	9	42	9	42	0	0	9	41	9	41	0	0	51
sample_W	22	47	22	47	0	0	22	45	22	45	0	0	69
sample_X	20	52	20	52	0	0	20	47	20	47	0	0	72
sample_Y	16	47	16	47	0	0	16	46	16	46	0	0	63
sample_Z	21	56	21	56	0	0	21	53	21	53	0	0	77
