Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	28	10	27	6	1	4	27	7	27	5	0	2	38	.
sample_B	24	14	24	10	0	4	22	8	22	8	0	0	38	.
sample_C	38	9	36	7	2	2	37	6	36	5	1	1	47	.
sample_D	28	10	28	7	0	3	28	9	28	7	0	2	38	.
sample_E	34	10	34	8	0	2	34	8	34	8	0	0	44	.
sample_F	23	7	21	6	2	1	22	5	21	5	1	0	30	.
sample_G	30	9	30	6	0	3	30	8	30	6	0	2	39	.
sample_HV	8	8	8	6	0	2	8	6	8	6	0	0	16	.
sample_H	9	10	9	7	0	3	9	8	9	7	0	1	19	.
sample_I	29	7	29	4	0	3	29	6	29	4	0	2	36	.
sample_J	26	9	26	6	0	3	26	8	26	6	0	2	35	.
sample_K	27	6	27	3	0	3	26	5	26	3	0	2	33	.
sample_L0	75	11	74	7	1	4	74	5	74	3	0	2	86	multiple_NUMTs
sample_L1	63	11	62	9	1	2	62	7	62	6	0	1	74	multiple_NUMTs
sample_L2	47	7	47	4	0	3	47	6	47	4	0	2	54	.
sample_L3	20	9	20	6	0	3	20	8	20	6	0	2	29	.
sample_L4	46	10	46	6	0	4	45	8	45	6	0	2	56	.
sample_L5	70	16	69	13	1	3	69	10	69	10	0	0	86	multiple_NUMTs
sample_M	23	7	23	4	0	3	23	6	23	4	0	2	30	.
sample_N	30	9	30	7	0	2	30	7	30	7	0	0	39	.
sample_P	23	7	22	4	1	3	22	4	22	3	0	1	30	.
sample_R	12	6	12	3	0	3	12	5	12	3	0	2	18	.
sample_S	2	9	2	6	0	3	1	8	1	6	0	2	11	.
sample_T	29	8	29	6	0	2	29	6	29	6	0	0	37	.
sample_U	16	10	16	7	0	3	16	9	16	7	0	2	26	.
sample_V	12	6	12	4	0	2	12	4	12	4	0	0	18	.
sample_W	30	8	30	6	0	2	30	6	30	6	0	0	38	.
sample_X	28	17	28	10	0	7	27	13	27	9	0	4	45	.
sample_Y	22	6	22	4	0	2	22	4	22	4	0	0	28	.
sample_Z	34	6	33	4	1	2	33	5	32	4	1	1	40	.
