Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	14	155	14	135	0	20	14	148	14	132	0	16	169
sample_B	13	149	13	127	0	22	13	137	13	119	0	18	162
sample_C	18	149	18	129	0	20	18	144	18	126	0	18	167
sample_D	15	158	15	136	0	22	15	154	15	134	0	20	173
sample_E	16	161	16	139	0	22	16	157	16	137	0	20	177
sample_F	12	160	12	138	0	22	12	156	12	136	0	20	172
sample_G	14	161	14	143	0	18	14	157	14	141	0	16	175
sample_HV	4	146	4	127	0	19	4	141	4	124	0	17	150
sample_H	5	184	5	158	0	26	5	180	5	156	0	24	189
sample_I	16	167	16	143	0	24	16	162	16	140	0	22	183
sample_J	15	139	15	120	0	19	15	135	15	118	0	17	154
sample_K	11	163	11	143	0	20	11	159	11	140	0	19	174
sample_L0	36	175	36	154	0	21	36	168	36	149	0	19	211
sample_L1	36	179	36	160	0	19	36	171	36	155	0	16	215
sample_L2	20	164	20	147	0	17	20	160	20	145	0	15	184
sample_L3	10	157	10	139	0	18	10	154	10	137	0	17	167
sample_L4	23	176	23	155	0	21	23	171	23	152	0	19	199
sample_L5	36	177	36	158	0	19	36	170	36	154	0	16	213
sample_M	11	141	11	126	0	15	11	139	11	125	0	14	152
sample_N	18	154	18	137	0	17	18	149	18	135	0	14	172
sample_P	11	175	11	153	0	22	11	169	11	151	0	18	186
sample_R	7	161	7	142	0	19	7	157	7	140	0	17	168
sample_S	0	137	0	118	0	19	0	133	0	115	0	18	137
sample_T	14	150	14	130	0	20	14	146	14	128	0	18	164
sample_U	8	163	8	143	0	20	8	159	8	140	0	19	171
sample_V	6	148	6	128	0	20	6	142	6	124	0	18	154
sample_W	13	161	13	143	0	18	13	156	13	141	0	15	174
sample_X	15	170	15	150	0	20	15	164	15	146	0	18	185
sample_Y	14	162	14	141	0	21	14	157	14	139	0	18	176
sample_Z	16	162	16	140	0	22	16	157	16	137	0	20	178
