Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	33	17	31	7	2	10	31	11	30	5	1	6	50	.
HG00621	25	77	25	60	0	17	24	72	24	58	0	14	102	.
HG00673	29	33	28	18	1	15	28	26	27	16	1	10	62	.
HG00733	29	13	28	8	1	5	28	10	28	7	0	3	42	.
HG00735	42	20	40	17	2	3	42	17	40	16	2	1	62	.
HG00741	77	31	77	23	0	8	77	25	77	20	0	5	108	multiple_NUMTs
HG01071	42	28	40	21	2	7	41	22	39	19	2	3	70	mean_cvg_less_500
HG01106	35	23	35	15	0	8	35	19	35	15	0	4	58	.
HG01109	83	9	82	4	1	5	79	8	79	4	0	4	92	.
HG01175	28	39	28	25	0	14	28	35	28	24	0	11	67	.
HG01258	29	15	28	5	1	10	26	4	26	2	0	2	44	.
HG01358	29	92	29	67	0	25	29	87	29	65	0	22	121	.
HG01361	29	19	29	6	0	13	27	7	27	4	0	3	48	.
HG01891	55	83	55	57	0	26	55	80	55	56	0	24	138	mean_cvg_less_500
HG01928	33	38	33	22	0	16	31	26	31	20	0	6	71	.
HG01952	30	59	30	45	0	14	30	54	30	44	0	10	89	.
HG01978	15	92	15	66	0	26	15	88	15	65	0	23	107	mismatch_HG
HG02055	36	10	34	5	2	5	33	6	33	4	0	2	46	.
HG02080	35	7	35	2	0	5	35	5	35	2	0	3	42	.
HG02145	57	9	56	5	1	4	56	6	56	4	0	2	66	.
HG02148	37	27	37	18	0	9	37	24	37	18	0	6	64	.
HG02257	43	139	42	93	1	46	43	135	42	93	1	42	182	multiple_NUMTs
HG02572	77	11	76	8	1	3	76	6	76	4	0	2	88	multiple_NUMTs
HG02622	28	54	28	35	0	19	27	48	27	33	0	15	82	.
HG02630	55	47	55	33	0	14	54	42	54	32	0	10	102	.
HG02717	57	9	57	3	0	6	56	6	56	3	0	3	66	.
HG02723	40	9	38	4	2	5	38	5	37	3	1	2	49	.
HG02818	39	14	38	7	1	7	38	10	38	6	0	4	53	.
HG02886	50	9	50	3	0	6	49	6	49	2	0	4	59	.
HG03098	51	11	51	4	0	7	50	7	50	4	0	3	62	.
HG03453	48	72	48	48	0	24	47	67	47	47	0	20	120	.
HG03486	53	12	53	4	0	8	52	9	52	4	0	5	65	.
HG03492	31	6	31	3	0	3	30	5	30	3	0	2	37	.
HG03516	52	7	52	2	0	5	51	4	51	2	0	2	59	.
HG03540	50	168	50	103	0	65	50	163	50	102	0	61	218	mismatch_HG;multiple_NUMTs
HG03579	56	16	56	11	0	5	56	13	56	10	0	3	72	.
NA18906	81	7	80	4	1	3	77	6	77	4	0	2	88	.
NA19240	33	7	33	3	0	4	32	4	32	2	0	2	40	.
NA20129	30	6	30	3	0	3	30	5	30	3	0	2	36	.
