Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	34	18	32	5	2	13	32	10	31	4	1	6	52
HG00621	43	23	43	6	0	17	41	18	41	4	0	14	66
HG00673	56	21	54	6	2	15	52	14	51	4	1	10	77
HG00733	30	7	29	1	1	6	29	4	29	1	0	3	37
HG00735	82	6	77	3	5	3	79	3	76	2	3	1	88
HG00741	135	7	133	0	2	7	130	5	130	0	0	5	142
HG01071	81	8	76	1	5	7	74	3	71	1	3	2	89
HG01106	60	8	58	1	2	7	58	5	58	1	0	4	68
HG01109	149	6	147	1	2	5	143	5	143	1	0	4	155
HG01175	30	16	29	2	1	14	29	13	29	2	0	11	46
HG01258	44	11	42	2	2	9	38	2	38	0	0	2	55
HG01358	33	33	32	8	1	25	32	29	32	7	0	22	66
HG01361	59	11	55	0	4	11	51	3	50	0	1	3	70
HG01891	99	33	99	7	0	26	99	31	99	7	0	24	132
HG01928	55	20	55	2	0	18	52	7	52	1	0	6	75
HG01952	33	16	32	2	1	14	32	12	32	2	0	10	49
HG01978	26	34	26	7	0	27	26	30	26	7	0	23	60
HG02055	61	6	58	1	3	5	56	2	55	1	1	1	67
HG02080	61	5	61	0	0	5	61	2	61	0	0	2	66
HG02145	100	5	98	1	2	4	98	2	98	0	0	2	105
HG02148	70	11	70	1	0	10	70	7	70	1	0	6	81
HG02257	82	59	78	13	4	46	81	54	78	13	3	41	141
HG02572	142	5	140	2	2	3	137	3	137	1	0	2	147
HG02622	37	20	35	2	2	18	34	16	34	1	0	15	57
HG02630	97	16	97	2	0	14	95	12	95	2	0	10	113
HG02717	106	7	106	1	0	6	104	3	104	1	0	2	113
HG02723	45	7	43	1	2	6	41	3	40	1	1	2	52
HG02818	39	11	38	3	1	8	38	6	38	2	0	4	50
HG02886	93	10	93	3	0	7	91	5	91	1	0	4	103
HG03098	96	7	96	0	0	7	94	3	94	0	0	3	103
HG03453	89	27	89	2	0	25	87	22	87	2	0	20	116
HG03486	96	11	96	2	0	9	94	7	94	2	0	5	107
HG03492	57	6	57	2	0	4	55	5	55	2	0	3	63
HG03516	94	7	94	0	0	7	92	2	92	0	0	2	101
HG03540	96	75	96	11	0	64	96	70	96	10	0	60	171
HG03579	101	10	101	4	0	6	101	8	101	4	0	4	111
NA18906	150	5	148	2	2	3	144	4	144	2	0	2	155
NA19240	60	4	60	0	0	4	56	2	56	0	0	2	64
NA20129	50	4	50	1	0	3	50	3	50	1	0	2	54
