Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	33	159	31	64	2	95	31	150	30	62	1	88	192
HG00621	22	285	22	154	0	131	21	277	21	152	0	125	307
HG00673	28	435	26	220	2	215	26	428	25	219	1	209	463
HG00733	29	72	28	13	1	59	28	66	28	13	0	53	101
HG00735	42	229	39	119	3	110	41	224	39	119	2	105	271
HG00741	62	1112	61	629	1	483	59	1100	59	626	0	474	1174
HG01071	43	253	40	136	3	117	40	246	38	135	2	111	296
HG01106	34	217	33	116	1	101	33	211	33	116	0	95	251
HG01109	74	194	71	84	3	110	71	188	71	83	0	105	268
HG01175	0	0	0	0	0	0	0	0	0	0	0	0	0
HG01258	30	70	28	8	2	62	26	61	26	5	0	56	100
HG01358	31	318	30	172	1	146	30	310	30	171	0	139	349
HG01361	31	59	29	10	2	49	27	51	27	8	0	43	90
HG01891	56	4	55	4	1	0	55	3	55	3	0	0	60
HG01928	33	278	32	147	1	131	30	269	30	145	0	124	311
HG01952	28	283	27	159	1	124	27	275	27	158	0	117	311
HG01978	15	409	15	234	0	175	15	401	15	232	0	169	424
HG02055	37	63	34	11	3	52	34	57	33	10	1	47	100
HG02080	33	100	33	38	0	62	33	94	33	38	0	56	133
HG02145	57	69	56	12	1	57	56	65	56	12	0	53	126
HG02148	36	207	36	95	0	112	36	202	36	94	0	108	243
HG02257	37	602	35	366	2	236	37	593	35	360	2	233	639
HG02572	79	57	78	9	1	48	76	53	76	9	0	44	136
HG02622	26	318	25	171	1	147	24	311	24	169	0	142	344
HG02630	50	222	50	117	0	105	49	216	49	116	0	100	272
HG02717	57	57	57	7	0	50	56	49	56	6	0	43	114
HG02723	41	65	39	13	2	52	39	56	38	12	1	44	106
HG02818	39	60	38	7	1	53	38	55	38	7	0	48	99
HG02886	50	74	50	11	0	63	49	67	49	10	0	57	124
HG03098	51	60	51	8	0	52	50	55	50	8	0	47	111
HG03453	46	335	46	194	0	141	45	326	45	193	0	133	381
HG03486	53	23	53	8	0	15	52	20	52	8	0	12	76
HG03492	28	60	28	10	0	50	27	55	27	10	0	45	88
HG03516	51	58	51	9	0	49	50	49	50	9	0	40	109
HG03540	51	393	51	219	0	174	51	389	51	218	0	171	444
HG03579	52	238	52	116	0	122	52	232	52	115	0	117	290
NA18906	77	70	74	11	3	59	74	67	74	11	0	56	147
NA19240	32	67	32	12	0	55	31	61	31	11	0	50	99
NA20129	30	57	30	8	0	49	30	54	30	8	0	46	87
