Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	4	32	0	3	4	31	2	30	0	1	2	39
HG00621	26	9	26	4	0	5	24	7	24	4	0	3	35
HG00673	30	14	28	5	2	9	28	10	27	4	1	6	44
HG00733	31	4	29	1	2	3	29	3	29	1	0	2	35
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44
HG00741	79	57	78	33	1	24	76	55	76	32	0	23	136
HG01071	44	6	41	1	3	5	41	3	39	1	2	2	50
HG01106	36	3	35	0	1	3	35	1	35	0	0	1	39
HG01109	83	10	80	0	3	10	80	9	80	0	0	9	93
HG01175	0	0	0	0	0	0	0	0	0	0	0	0	0
HG01258	31	4	29	1	2	3	26	2	26	1	0	1	35
HG01358	34	10	32	6	2	4	32	9	32	6	0	3	44
HG01361	33	6	30	1	3	5	27	4	27	1	0	3	39
HG01891	56	1	55	1	1	0	55	1	55	1	0	0	57
HG01928	36	8	34	3	2	5	31	6	31	3	0	3	44
HG01952	34	7	32	4	2	3	32	6	32	4	0	2	41
HG01978	15	16	15	8	0	8	15	13	15	8	0	5	31
HG02055	38	5	35	1	3	4	34	3	33	1	1	2	43
HG02080	35	7	35	0	0	7	35	5	35	0	0	5	42
HG02145	58	1	57	0	1	1	57	0	57	0	0	0	59
HG02148	38	6	37	3	1	3	37	5	37	3	0	2	44
HG02257	47	22	44	13	3	9	46	19	44	13	2	6	69
HG02572	79	3	78	1	1	2	76	2	76	1	0	1	82
HG02622	31	10	30	3	1	7	28	8	28	3	0	5	41
HG02630	55	8	55	3	0	5	54	6	54	3	0	3	63
HG02717	57	6	57	1	0	5	56	2	56	1	0	1	63
HG02723	42	7	40	2	2	5	39	4	38	2	1	2	49
HG02818	41	2	38	1	3	1	38	2	38	1	0	1	43
HG02886	50	7	50	2	0	5	49	3	49	1	0	2	57
HG03098	52	6	52	0	0	6	51	3	51	0	0	3	58
HG03453	50	12	49	7	1	5	48	9	48	7	0	2	62
HG03486	53	13	53	3	0	10	52	10	52	3	0	7	66
HG03492	31	6	31	2	0	4	30	5	30	2	0	3	37
HG03516	53	5	52	0	1	5	51	2	51	0	0	2	58
HG03540	56	18	56	9	0	9	56	17	56	9	0	8	74
HG03579	59	5	58	3	1	2	58	4	58	3	0	1	64
NA18906	80	7	77	3	3	4	77	6	77	3	0	3	87
NA19240	34	4	34	0	0	4	32	2	32	0	0	2	38
NA20129	30	4	30	1	0	3	30	3	30	1	0	2	34
