Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	55	6	54	0	1	6	51	1	50	0	1	1	61
HG00621	47	4	47	2	0	2	43	2	43	2	0	0	51
HG00673	52	9	51	4	1	5	49	2	48	2	1	0	61
HG00733	29	9	28	5	1	4	28	4	28	4	0	0	38
HG00735	84	2	79	0	5	2	81	0	78	0	3	0	86
HG00741	114	15	114	3	0	12	112	9	112	1	0	8	129
HG01071	73	24	68	6	5	18	64	18	63	5	1	13	97
HG01106	51	8	51	1	0	7	51	3	51	1	0	2	59
HG01109	144	10	144	5	0	5	142	4	142	3	0	1	154
HG01175	29	7	29	2	0	5	29	3	29	2	0	1	36
HG01258	45	12	43	4	2	8	39	1	39	0	0	1	57
HG01358	32	7	31	3	1	4	31	3	31	3	0	0	39
HG01361	58	10	56	3	2	7	52	2	51	2	1	0	68
HG01891	104	3	104	2	0	1	104	2	104	2	0	0	107
HG01928	48	10	46	2	2	8	43	6	43	2	0	4	58
HG01952	31	5	31	1	0	4	31	1	31	1	0	0	36
HG01978	24	20	22	14	2	6	22	19	22	14	0	5	44
HG02055	59	12	59	2	0	10	56	6	56	2	0	4	71
HG02080	65	3	65	0	0	3	65	0	65	0	0	0	68
HG02145	102	10	102	2	0	8	101	4	101	1	0	3	112
HG02148	71	4	71	0	0	4	71	1	71	0	0	1	75
HG02257	84	7	80	3	4	4	83	3	80	3	3	0	91
HG02572	143	4	141	3	2	1	137	3	137	3	0	0	147
HG02622	36	7	34	2	2	5	33	3	33	0	0	3	43
HG02630	99	5	99	2	0	3	97	2	97	2	0	0	104
HG02717	105	6	105	1	0	5	103	2	103	1	0	1	111
HG02723	46	6	44	2	2	4	42	2	41	2	1	0	52
HG02818	39	6	38	3	1	3	38	2	38	2	0	0	45
HG02886	93	7	93	3	0	4	91	2	91	1	0	1	100
HG03098	92	7	92	1	0	6	90	3	90	1	0	2	99
HG03453	90	4	90	0	0	4	88	0	88	0	0	0	94
HG03486	97	7	97	3	0	4	95	3	95	3	0	0	104
HG03492	56	3	56	1	0	2	54	2	54	1	0	1	59
HG03516	97	6	97	1	0	5	95	1	95	1	0	0	103
HG03540	104	3	104	2	0	1	104	2	104	2	0	0	107
HG03579	108	4	108	1	0	3	108	2	108	1	0	1	112
NA18906	145	6	143	4	2	2	141	2	141	2	0	0	151
NA19240	60	4	60	2	0	2	58	0	58	0	0	0	64
NA20129	53	2	53	1	0	1	53	1	53	1	0	0	55
