Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	33	2	32	0	1	2	31	0	30	0	1	0	35
HG00621	25	9	25	3	0	6	23	5	23	3	0	2	34
HG00673	30	9	29	3	1	6	28	4	27	2	1	2	39
HG00733	28	7	27	5	1	2	27	5	27	5	0	0	35
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44
HG00741	78	4	78	2	0	2	78	0	78	0	0	0	82
HG01071	42	5	39	2	3	3	38	3	37	2	1	1	47
HG01106	34	4	34	1	0	3	34	1	34	1	0	0	38
HG01109	79	14	79	5	0	9	79	8	79	2	0	6	93
HG01175	28	8	28	3	0	5	28	5	28	3	0	2	36
HG01258	31	7	29	2	2	5	26	3	26	1	0	2	38
HG01358	32	5	31	3	1	2	31	3	31	3	0	0	37
HG01361	31	7	30	1	1	6	27	2	27	1	0	1	38
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57
HG01928	33	4	32	2	1	2	29	2	29	2	0	0	37
HG01952	31	4	31	1	0	3	31	1	31	1	0	0	35
HG01978	15	1	14	0	1	1	14	0	14	0	0	0	16
HG02055	35	19	35	2	0	17	33	12	33	2	0	10	54
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37
HG02145	57	14	57	1	0	13	57	9	57	1	0	8	71
HG02148	37	2	37	0	0	2	37	0	37	0	0	0	39
HG02257	47	3	44	1	3	2	46	1	44	1	2	0	50
HG02572	78	7	77	4	1	3	76	4	76	3	0	1	85
HG02622	30	3	29	1	1	2	28	0	28	0	0	0	33
HG02630	54	5	54	3	0	2	54	2	54	2	0	0	59
HG02717	56	5	56	2	0	3	55	2	55	2	0	0	61
HG02723	42	4	40	1	2	3	39	1	38	1	1	0	46
HG02818	38	5	37	3	1	2	37	3	37	3	0	0	43
HG02886	49	7	49	3	0	4	49	2	49	1	0	1	56
HG03098	51	11	51	1	0	10	50	7	50	1	0	6	62
HG03453	49	2	49	0	0	2	48	0	48	0	0	0	51
HG03486	53	6	53	3	0	3	52	3	52	3	0	0	59
HG03492	31	6	31	1	0	5	30	4	30	1	0	3	37
HG03516	52	8	52	1	0	7	51	3	51	1	0	2	60
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58
HG03579	58	3	58	1	0	2	58	1	58	1	0	0	61
NA18906	78	7	77	5	1	2	77	3	77	2	0	1	85
NA19240	33	2	33	1	0	1	32	0	32	0	0	0	35
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
