Run	haplogroup
HG00438	F
HG00621	N
HG00673	F
HG00733	A
HG00735	C
HG00741	L1
HG01071	C
HG01106	A
HG01109	L0
HG01175	A
HG01258	B
HG01358	A
HG01361	B
HG01891	L2
HG01928	B
HG01952	A
HG01978	H
HG02055	U
HG02080	M
HG02145	L2
HG02148	D
HG02257	C
HG02572	L1
HG02622	U
HG02630	L2
HG02717	L2
HG02723	L3
HG02818	L3
HG02886	L2
HG03098	L2
HG03453	L2
HG03486	L2
HG03492	R
HG03516	L2
HG03540	L2
HG03579	L2
NA18906	L0
NA19240	L3
NA20129	L3
