Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	35	2	32	0	3	2	31	0	30	0	1	0	37	mean_cvg_less_500
HG00621	26	6	25	3	1	3	24	3	24	2	0	1	32	mean_cvg_less_500
HG00673	30	8	28	4	2	4	28	4	27	3	1	1	38	mean_cvg_less_500
HG00733	30	13	28	3	2	10	28	12	28	3	0	9	43	mean_cvg_less_500
HG00735	44	0	40	0	4	0	42	0	40	0	2	0	44	mean_cvg_less_500
HG00741	81	3	80	2	1	1	78	1	78	0	0	1	84	mean_cvg_less_500
HG01071	45	4	41	0	4	4	41	2	39	0	2	2	49	mean_cvg_less_500
HG01106	37	7	35	0	2	7	35	6	35	0	0	6	44	mean_cvg_less_500
HG01109	84	3	80	2	4	1	80	2	80	1	0	1	87	mean_cvg_less_500
HG01175	31	3	29	2	2	1	29	2	29	2	0	0	34	mean_cvg_less_500
HG01258	32	4	29	2	3	2	26	2	26	1	0	1	36	mean_cvg_less_500
HG01358	34	3	32	2	2	1	32	2	32	2	0	0	37	mean_cvg_less_500
HG01361	32	4	30	1	2	3	27	1	27	1	0	0	36	mean_cvg_less_500
HG01891	56	2	55	2	1	0	55	2	55	2	0	0	58	mean_cvg_less_500
HG01928	35	3	34	0	1	3	31	0	31	0	0	0	38	mean_cvg_less_500
HG01952	33	2	32	0	1	2	32	0	32	0	0	0	35	mean_cvg_less_500
HG01978	16	1	15	0	1	1	15	0	15	0	0	0	17	mean_cvg_less_500
HG02055	38	6	35	5	3	1	34	3	33	3	1	0	44	mean_cvg_less_500
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37	mean_cvg_less_500
HG02145	59	1	57	1	2	0	57	1	57	1	0	0	60	mean_cvg_less_500
HG02148	38	2	37	0	1	2	37	1	37	0	0	1	40	mean_cvg_less_500
HG02257	47	3	44	1	3	2	46	1	44	1	2	0	50	mean_cvg_less_500
HG02572	80	3	78	3	2	0	76	3	76	3	0	0	83	mean_cvg_less_500
HG02622	32	10	30	0	2	10	28	7	28	0	0	7	42	mean_cvg_less_500
HG02630	56	5	55	2	1	3	54	2	54	2	0	0	61	mean_cvg_less_500
HG02717	58	4	57	1	1	3	56	2	56	1	0	1	62	mean_cvg_less_500
HG02723	43	3	40	1	3	2	39	1	38	1	1	0	46	mean_cvg_less_500
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43	mean_cvg_less_500
HG02886	50	5	50	1	0	4	49	2	49	1	0	1	55	mean_cvg_less_500
HG03098	51	7	51	1	0	6	50	3	50	1	0	2	58	mean_cvg_less_500
HG03453	50	2	49	0	1	2	48	0	48	0	0	0	52	mean_cvg_less_500
HG03486	54	5	53	3	1	2	52	3	52	3	0	0	59	mean_cvg_less_500
HG03492	31	10	31	1	0	9	30	7	30	1	0	6	41	mean_cvg_less_500
HG03516	52	4	52	1	0	3	51	1	51	1	0	0	56	mean_cvg_less_500
HG03540	57	2	56	1	1	1	56	2	56	1	0	1	59	mean_cvg_less_500
HG03579	60	1	58	1	2	0	58	1	58	1	0	0	61	mean_cvg_less_500
NA18906	81	2	77	2	4	0	77	2	77	2	0	0	83	mean_cvg_less_500
NA19240	35	1	34	0	1	1	32	0	32	0	0	0	36	mean_cvg_less_500
NA20129	31	2	30	1	1	1	30	2	30	1	0	1	33	mean_cvg_less_500
