Run	haplogroup
sample_A	A2+(64)
sample_B	B2
sample_C	C
sample_D	D4
sample_E	E1a1a1
sample_F	F1
sample_G	G2a'c
sample_H	H
sample_HV	HV
sample_I	I
sample_J	J1c
sample_K	K1a
sample_L0	L0a1
sample_L1	L1b
sample_L2	L2a1
sample_L3	L3
sample_L4	L4b1a
sample_L5	L5a
sample_M	M
sample_N	N1b1
sample_P	P9a
sample_R	R
sample_S	S3
sample_T	T2
sample_U	U5a'b
sample_V	V
sample_W	W
sample_X	X2b
sample_Y	Y1
sample_Z	Z3
