Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	37	3	33	0	4	3	32	0	31	0	1	0	40
HG00621	47	3	47	1	0	2	43	1	43	1	0	0	50
HG00673	51	11	49	6	2	5	47	4	46	4	1	0	62
HG00733	32	3	29	2	3	1	29	2	29	2	0	0	35
HG00735	86	0	79	0	7	0	81	0	78	0	3	0	86
HG00741	141	1	139	0	2	1	135	0	135	0	0	0	142
HG01071	85	3	78	0	7	3	76	0	73	0	3	0	88
HG01106	58	1	54	0	4	1	54	0	54	0	0	0	59
HG01109	145	1	143	0	2	1	139	0	139	0	0	0	146
HG01175	32	2	29	1	3	1	29	1	29	1	0	0	34
HG01258	44	7	42	3	2	4	38	0	38	0	0	0	51
HG01358	33	6	32	2	1	4	32	2	32	2	0	0	39
HG01361	62	5	56	1	6	4	52	1	51	1	1	0	67
HG01891	104	3	104	2	0	1	104	2	104	2	0	0	107
HG01928	63	5	59	0	4	5	55	0	55	0	0	0	68
HG01952	35	1	32	0	3	1	32	0	32	0	0	0	36
HG01978	29	1	27	0	2	1	27	0	27	0	0	0	30
HG02055	61	5	58	2	3	3	56	2	55	2	1	0	66
HG02080	64	3	64	0	0	3	64	0	64	0	0	0	67
HG02145	104	2	102	1	2	1	101	0	101	0	0	0	106
HG02148	72	1	70	0	2	1	70	0	70	0	0	0	73
HG02257	85	9	81	4	4	5	84	3	81	3	3	0	94
HG02572	135	2	132	1	3	1	128	1	128	1	0	0	137
HG02622	41	2	38	0	3	2	35	1	35	0	0	1	43
HG02630	99	4	99	1	0	3	97	1	97	1	0	0	103
HG02717	104	4	102	1	2	3	100	1	100	1	0	0	108
HG02723	44	5	40	2	4	3	39	2	38	2	1	0	49
HG02818	39	4	38	1	1	3	38	1	38	1	0	0	43
HG02886	94	6	94	1	0	5	90	2	90	1	0	1	100
HG03098	93	2	91	0	2	2	89	0	89	0	0	0	95
HG03453	92	2	90	0	2	2	88	0	88	0	0	0	94
HG03486	98	4	96	2	2	2	94	2	94	2	0	0	102
HG03492	55	2	55	0	0	2	53	1	53	0	0	1	57
HG03516	96	5	96	0	0	5	94	0	94	0	0	0	101
HG03540	100	3	100	2	0	1	100	2	100	2	0	0	103
HG03579	110	2	108	1	2	1	109	1	108	1	1	0	112
NA18906	143	3	141	2	2	1	137	2	137	2	0	0	146
NA19240	59	2	59	0	0	2	55	0	55	0	0	0	61
NA20129	54	1	53	1	1	0	53	1	53	1	0	0	55
